Schema,Table,FullTableName,Position,Field,DataType,Key,Nullable,Description,TableDescription,SapReference,SourceFile
org,Tenant,org.Tenant,1,Id,int,PK,no,"Tenant id, used as `TenantId` everywhere else",Client / tenant — the top isolation boundary,T000,01_enterprise_structure.md
org,Tenant,org.Tenant,2,TenantCode,nvarchar(4),AK,no,Short tenant key (SAP client number equivalent),Client / tenant — the top isolation boundary,T000,01_enterprise_structure.md
org,Tenant,org.Tenant,3,Name,nvarchar(60),,no,Tenant name,Client / tenant — the top isolation boundary,T000,01_enterprise_structure.md
org,Tenant,org.Tenant,4,LogicalSystem,nvarchar(20),,yes,Logical system name for integration,Client / tenant — the top isolation boundary,T000,01_enterprise_structure.md
org,Tenant,org.Tenant,5,DefaultLanguage,nvarchar(2),,no,"Default UI language (`EN`, `KM`)",Client / tenant — the top isolation boundary,T000,01_enterprise_structure.md
org,Tenant,org.Tenant,6,DefaultCurrencyCode,nvarchar(5),FK,yes,Default currency proposal,Client / tenant — the top isolation boundary,T000,01_enterprise_structure.md
org,Tenant,org.Tenant,7,TimeZoneId,nvarchar(64),,no,IANA time zone used for display,Client / tenant — the top isolation boundary,T000,01_enterprise_structure.md
org,Tenant,org.Tenant,8,IsProduction,bit,,no,Production client — blocks unreviewed DDL and test postings,Client / tenant — the top isolation boundary,T000,01_enterprise_structure.md
org,Tenant,org.Tenant,9,AllowCustomizingChanges,bit,,no,Whether configuration may be changed directly,Client / tenant — the top isolation boundary,T000,01_enterprise_structure.md
org,Tenant,org.Tenant,10,ValidFrom,date,,no,Tenant activation date,Client / tenant — the top isolation boundary,T000,01_enterprise_structure.md
org,Tenant,org.Tenant,11,ValidTo,date,,no,Tenant expiry date,Client / tenant — the top isolation boundary,T000,01_enterprise_structure.md
org,Tenant,org.Tenant,12,CreatedAt,datetime2(3),,no,Creation timestamp (UTC),Client / tenant — the top isolation boundary,T000,01_enterprise_structure.md
org,Tenant,org.Tenant,13,CreatedBy,nvarchar(64),,no,Creating user name,Client / tenant — the top isolation boundary,T000,01_enterprise_structure.md
org,Tenant,org.Tenant,14,ModifiedAt,datetime2(3),,yes,Last change timestamp (UTC),Client / tenant — the top isolation boundary,T000,01_enterprise_structure.md
org,Tenant,org.Tenant,15,ModifiedBy,nvarchar(64),,yes,Last changing user name,Client / tenant — the top isolation boundary,T000,01_enterprise_structure.md
org,Tenant,org.Tenant,16,RowVersion,rowversion,,no,Optimistic concurrency token,Client / tenant — the top isolation boundary,T000,01_enterprise_structure.md
org,Tenant,org.Tenant,17,IsActive,bit,,no,Soft-delete / active flag (master + config only),Client / tenant — the top isolation boundary,T000,01_enterprise_structure.md
org,Company,org.Company,1,Id,bigint,PK,no,Surrogate key,Legal or consolidation group entity,T880,01_enterprise_structure.md
org,Company,org.Company,2,TenantId,int,"FK,IX",no,Owning tenant — every query is filtered by it,Legal or consolidation group entity,T880,01_enterprise_structure.md
org,Company,org.Company,3,CompanyCodeGroup,nvarchar(6),AK,no,Company key (trading partner id),Legal or consolidation group entity,T880,01_enterprise_structure.md
org,Company,org.Company,4,Name,nvarchar(60),,no,Company name,Legal or consolidation group entity,T880,01_enterprise_structure.md
org,Company,org.Company,5,Name2,nvarchar(60),,yes,Name line 2,Legal or consolidation group entity,T880,01_enterprise_structure.md
org,Company,org.Company,6,CountryCode,nvarchar(3),FK,no,Country of registration,Legal or consolidation group entity,T880,01_enterprise_structure.md
org,Company,org.Company,7,GroupCurrencyCode,nvarchar(5),FK,no,Consolidation (group) currency,Legal or consolidation group entity,T880,01_enterprise_structure.md
org,Company,org.Company,8,LanguageCode,nvarchar(2),FK,no,Correspondence language,Legal or consolidation group entity,T880,01_enterprise_structure.md
org,Company,org.Company,9,RegistrationNumber,nvarchar(20),,yes,Commercial register number,Legal or consolidation group entity,T880,01_enterprise_structure.md
org,Company,org.Company,10,TaxNumber,nvarchar(20),,yes,Group tax number,Legal or consolidation group entity,T880,01_enterprise_structure.md
org,Company,org.Company,11,AccountingStandard,nvarchar(10),,yes,"`IFRS`, `LOCAL`, `USGAAP`",Legal or consolidation group entity,T880,01_enterprise_structure.md
org,Company,org.Company,12,ConsolidationRelevant,bit,,no,Included in consolidation,Legal or consolidation group entity,T880,01_enterprise_structure.md
org,Company,org.Company,13,CreatedAt,datetime2(3),,no,Creation timestamp (UTC),Legal or consolidation group entity,T880,01_enterprise_structure.md
org,Company,org.Company,14,CreatedBy,nvarchar(64),,no,Creating user name,Legal or consolidation group entity,T880,01_enterprise_structure.md
org,Company,org.Company,15,ModifiedAt,datetime2(3),,yes,Last change timestamp (UTC),Legal or consolidation group entity,T880,01_enterprise_structure.md
org,Company,org.Company,16,ModifiedBy,nvarchar(64),,yes,Last changing user name,Legal or consolidation group entity,T880,01_enterprise_structure.md
org,Company,org.Company,17,RowVersion,rowversion,,no,Optimistic concurrency token,Legal or consolidation group entity,T880,01_enterprise_structure.md
org,Company,org.Company,18,IsActive,bit,,no,Soft-delete / active flag (master + config only),Legal or consolidation group entity,T880,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,1,Id,bigint,PK,no,Surrogate key,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,2,TenantId,int,"FK,IX",no,Owning tenant — every query is filtered by it,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,3,CompanyCode,nvarchar(4),AK,no,Company code key (e.g. `KH01`),Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,4,CompanyId,bigint,FK,no,Owning company,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,5,Name,nvarchar(60),,no,Company code name,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,6,Name2,nvarchar(60),,yes,Additional name,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,7,City,nvarchar(40),,yes,Registered city,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,8,CountryCode,nvarchar(3),FK,no,Country — drives tax and address format,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,9,LocalCurrencyCode,nvarchar(5),FK,no,Company code (local) currency,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,10,GroupCurrencyCode,nvarchar(5),FK,yes,"Group currency, defaulted from company",Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,11,HardCurrencyCode,nvarchar(5),FK,yes,Hard currency for high-inflation countries,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,12,IndexCurrencyCode,nvarchar(5),FK,yes,Index-based currency,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,13,LanguageCode,nvarchar(2),FK,no,Correspondence language,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,14,ChartOfAccountsId,bigint,FK,no,Operational chart of accounts,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,15,CountryChartOfAccountsId,bigint,FK,yes,Country-specific chart of accounts,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,16,FiscalYearVariantId,bigint,FK,no,Fiscal year variant,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,17,PostingPeriodVariantId,bigint,FK,no,Posting period variant,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,18,FieldStatusVariantId,bigint,FK,no,Field status variant,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,19,CreditControlAreaId,bigint,FK,yes,Default credit control area,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
